Precincts,Borough,Asian_Population,2021_S1,2021_S2,2021_S3,2021_S4,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,FELONY_2021_S1,FELONY_2021_S2,FELONY_2021_S3,FELONY_2021_S4,MISDEMEANDOR_2021_S1,MISDEMEANDOR_2021_S2,MISDEMEANDOR_2021_S3,MISDEMEANDOR_2021_S4,VIOLATION_2021_S1,VIOLATION_2021_S2,VIOLATION_2021_S3,VIOLATION_2021_S4,FELONY_2020,FELONY_2019,FELONY_2018,FELONY_2017,FELONY_2016,FELONY_2015,FELONY_2014,FELONY_2013,FELONY_2012,FELONY_2011,FELONY_2010,MISDEMEANDOR_2020,MISDEMEANDOR_2019,MISDEMEANDOR_2018,MISDEMEANDOR_2017,MISDEMEANDOR_2016,MISDEMEANDOR_2015,MISDEMEANDOR_2014,MISDEMEANDOR_2013,MISDEMEANDOR_2012,MISDEMEANDOR_2011,MISMEANDOR_2010,VIOLATION_2020,VIOLATION_2019,VIOLATION_2018,VIOLATION_2017,VIOLATION_2016,VIOLATION_2015,VIOLATION_2014,VIOLATION_2013,VIOLATION_2012,VIOLATION_2011,VIOLATION_2010
103,QUEENS,32103,8.254680248,10.59091051,12.33529577,11.74345077,0.77874342,0.062299474,0.09344921,0.031149737,0,0,0,0,0.031149737,0,0.031149737,2.741176837,3.519920257,4.672460518,5.32660499,3.987166308,5.046257359,5.825000779,5.046257359,1.557486839,2.087032365,1.993583154,1.900133944,0.311497368,0.031149737,0.09344921,0,0,0,0,0,0,0.031149737,0,0.311497368,0,0,0.031149737,0,0,0.031149737,0,0,0,0.031149737,0.155748684,0.031149737,0,0,0,0,0,0,0.031149737,0,0
104,QUEENS,19624,3.668976763,4.331430901,4.484304933,5.860171219,2.54790053,0.254790053,0,0.101916021,0.050958011,0,0,0,0,0,0,0.86628618,1.68161435,1.477782307,2.191194456,1.834488382,1.987362413,2.242152466,2.802690583,1.121076233,0.713412148,0.86628618,1.375866286,1.528740318,0.152874032,0,0.050958011,0,0,0,0,0,0,0,0.917244191,0.050958011,0,0.050958011,0,0,0,0,0,0,0,0.101916021,0.050958011,0,0,0,0,0,0,0,0,0
105,QUEENS,37173,5.434051597,6.510101418,8.796707288,9.415435935,0.699432384,0.24211121,0.026901246,0,0,0,0,0.053802491,0,0,0,1.721679714,2.501815834,2.717025798,3.281951954,2.690124553,2.340408361,3.793075619,4.600112985,1.183654803,1.748580959,2.394210852,1.936889678,0.269012455,0.134506228,0.026901246,0,0,0,0,0.053802491,0,0,0,0.403518683,0.107604982,0,0,0,0,0,0,0,0,0,0.026901246,0,0.026901246,0,0,0,0,0,0,0,0
106,QUEENS,28115,14.47625823,19.13569269,24.93330962,22.26569447,0.924773253,0.071136404,0.071136404,0.035568202,0.071136404,0.071136404,0,0,0,0,0,5.61977592,6.366708163,9.069891517,8.963186911,6.260003557,8.25182287,9.069891517,8.963186911,2.881024364,4.623866264,7.042504001,4.872843678,0.391250222,0.035568202,0.035568202,0,0.035568202,0.035568202,0,0,0,0,0,0.53352303,0.035568202,0.035568202,0.035568202,0.035568202,0.035568202,0.035568202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,QUEENS,60722,3.837159514,4.561773328,5.335792629,5.747505023,0.214090445,0.032936992,0,0,0,0.016468496,0,0.032936992,0,0.016468496,0,1.136326208,1.71272356,1.910345509,2.602022331,2.107967458,1.992687988,2.470274365,2.536148348,0.790487797,0.938704259,1.053983729,0.85636178,0.082342479,0.032936992,0,0,0,0.016468496,0,0,0,0,0,0.131747966,0,0,0,0,0,0,0,0.016468496,0.016468496,0,0,0,0,0,0,0,0,0,0,0,0
108,QUEENS,49115,4.214598392,5.599104143,6.148834368,5.33441922,0.122162272,0,0,0,0,0,0.020360379,0,0,0.020360379,0,1.221622722,1.73063219,1.913875598,2.382164308,2.178560521,2.646849231,2.769011504,2.646849231,0.834775527,1.343784994,1.547388781,0.753334012,0.020360379,0,0,0,0,0,0,0,0.061081136,0,0,0.101801894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,QUEENS,154909,3.524649956,4.008805169,4.428406355,6.868548632,0.109741848,0.012910806,0,0.006455403,0,0,0,0,0,0,0,1.465376447,1.394367015,1.420188627,3.840964695,1.47183185,1.833334409,2.285212609,2.530517917,0.626174076,0.806925356,0.826291565,0.723005119,0.04518782,0.006455403,0,0.006455403,0,0,0,0,0,0,0,0.04518782,0.006455403,0,0,0,0,0.006455403,0,0,0,0,0.019366209,0,0,0,0.006455403,0,0,0,0,0,0
110,QUEENS,66356,3.601784315,3.707275906,4.927964314,5.214298632,0.346615227,0.030140455,0,0,0,0,0,0.030140455,0,0,0,1.401531135,1.552233408,1.944059316,2.486587498,1.733076135,1.687865453,2.305744771,2.36602568,0.572668636,0.527457954,0.76858159,0.708300681,0.180842727,0.015070227,0,0,0,0,0,0,0.015070227,0,0,0.105491591,0.015070227,0,0,0,0,0,0,0,0,0,0.060280909,0,0,0,0,0,0,0,0,0,0
111,QUEENS,60251,2.970905047,3.585002739,4.282086604,5.410698578,0.03319447,0.016597235,0,0,0,0,0.016597235,0,0,0,0,1.477153906,1.709515195,2.041459893,2.921113343,1.062223034,1.460556671,1.775904134,2.141043302,0.514514282,0.497917047,0.531111517,0.713681101,0,0.016597235,0,0,0,0,0,0,0,0,0,0.03319447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,QUEENS,37348,2.168790832,2.543643569,2.998821891,3.293349041,0.160651173,0.026775195,0,0.026775195,0,0,0,0,0,0,0,0.722930277,0.669379886,0.990682232,1.204883796,0.910356646,1.392310164,1.606511728,1.901038878,0.535503909,0.508728714,0.535503909,0.455178323,0.053550391,0,0,0.026775195,0,0,0,0,0,0,0,0.080325586,0.026775195,0,0,0,0,0,0,0,0,0,0.026775195,0,0,0,0,0,0,0,0,0,0
